User ID,First Name,Last Name,Employment,Gender,Birthday,Time In,Time Out,Extension Duration
8729.0,Jeffrey,Rios,BPO,F,1979-11-06,2023-10-04 10:36:36,2023-10-04 12:06:36,30.0
5276.0,Kimberly,Bernard,AdU,F,2008-09-17,2023-10-03 19:22:19,2023-10-04 00:22:19,210.0
2617.0,Kimberly,Mason,BPO,M,1982-06-29,2023-10-03 16:03:28,2023-10-03 19:03:28,180.0
1915.0,Kathy,Martin,management,F,1997-01-17,2023-10-03 20:12:37,2023-10-03 22:12:37,30.0
1262.0,Linda,Bell,influencer,M,1994-04-06,2023-10-04 11:14:40,2023-10-04 14:14:40,60.0
8130.0,Anthony,Miller,FEU,M,2005-06-03,2023-10-04 13:29:06,2023-10-04 16:29:06,60.0
3569.0,Brett,Gutierrez,OTHER,F,2004-03-12,2023-10-03 19:52:05,2023-10-03 22:52:05,60.0
,,,UST,M,2005-05-06,2023-10-04 15:15:31,2023-10-04 17:15:31,
5857.0,Brooke,Lopez,FEU,M,2004-10-16,2023-10-03 19:17:10,2023-10-04 00:17:10,30.0
4204.0,Patricia,Noble,doctor,F,1991-06-20,2023-10-04 03:17:06,2023-10-04 08:17:06,120.0
2498.0,Sabrina,Williams,TIP,F,2007-08-03,2023-10-04 06:45:36,2023-10-04 08:45:36,30.0
8509.0,Lauren,Lynch,OTHER,F,2008-02-21,2023-10-03 20:04:47,2023-10-03 23:04:47,30.0
5089.0,Kimberly,Coleman,UST,M,2000-03-05,2023-10-04 04:10:16,2023-10-04 07:10:16,60.0
5186.0,Jacqueline,Hicks,software engineer,F,1982-11-29,2023-10-04 01:50:40,2023-10-04 06:50:40,90.0
3411.0,Beth,Hall,AdU,M,2002-07-03,2023-10-03 16:49:11,2023-10-03 18:19:11,90.0
7115.0,Daniel,Stanley,BPO,M,1978-08-20,2023-10-04 06:33:30,2023-10-04 08:33:30,60.0
1644.0,Allison,Marshall,UST,M,2003-05-28,2023-10-04 13:54:16,2023-10-04 15:24:16,60.0
4456.0,Diana,Erickson,BPO,F,1992-12-23,2023-10-03 20:49:17,2023-10-03 22:49:17,30.0
,,,AdU,F,2007-03-22,2023-10-04 05:54:28,2023-10-04 09:54:28,
4955.0,Laurie,Andrews,TIP,M,2005-10-08,2023-10-04 12:48:17,2023-10-04 14:48:17,60.0
5947.0,Andre,Jordan,management,F,1997-08-06,2023-10-04 11:35:10,2023-10-04 12:35:10,60.0
2937.0,Paula,Booker,BPO,F,1991-11-24,2023-10-03 16:09:54,2023-10-03 19:09:54,60.0
4487.0,Michael,Allen,BPO,M,1989-04-17,2023-10-04 12:55:31,2023-10-04 16:55:31,30.0
,,,BPO,F,1990-06-27,2023-10-04 00:10:14,2023-10-04 02:10:14,
2574.0,Tiffany,Jones,lawyer,F,1993-10-24,2023-10-03 21:10:12,2023-10-04 01:10:12,30.0
2705.0,Justin,Rice,UST,M,2000-10-05,2023-10-04 06:22:43,2023-10-04 07:22:43,30.0
9602.0,David,Jones,BPO,M,1989-03-30,2023-10-04 04:00:22,2023-10-04 05:30:22,30.0
4200.0,Danny,Harper,FEU,F,2004-08-27,2023-10-04 02:24:01,2023-10-04 03:54:01,90.0
8844.0,Erin,Smith,BPO,F,1984-03-31,2023-10-03 21:58:59,2023-10-04 02:58:59,60.0
7702.0,Samantha,Woods,UST,M,2003-05-19,2023-10-04 04:52:21,2023-10-04 08:52:21,90.0
2364.0,Sonya,Phillips,BPO,F,1978-02-18,2023-10-04 00:35:09,2023-10-04 03:35:09,90.0
4518.0,Mary,Jimenez,BPO,M,1986-10-23,2023-10-04 12:55:59,2023-10-04 15:55:59,30.0
5123.0,Tony,Richards,software engineer,F,1985-03-24,2023-10-04 09:42:32,2023-10-04 11:12:32,30.0
2821.0,Ricky,Martinez,UST,F,2000-06-27,2023-10-03 20:20:39,2023-10-03 23:20:39,30.0
8756.0,Christina,Kelly,FEU,F,2004-06-01,2023-10-03 17:46:46,2023-10-03 23:46:46,330.0
2413.0,Nicole,Lambert,BPO,F,1982-10-20,2023-10-03 16:59:14,2023-10-03 18:29:14,30.0
7973.0,Yolanda,Mejia,TIP,F,2002-03-15,2023-10-04 03:03:47,2023-10-04 06:03:47,30.0
3396.0,John,Baldwin,BPO,F,1972-11-26,2023-10-03 23:21:12,2023-10-04 02:21:12,30.0
7537.0,Dylan,Hutchinson,OTHER,F,2005-09-03,2023-10-04 00:31:21,2023-10-04 03:31:21,150.0
5889.0,Scott,Harris,software engineer,F,1984-11-25,2023-10-03 16:14:14,2023-10-03 21:14:14,150.0
4163.0,Eric,Williams,UST,M,2008-02-11,2023-10-04 11:42:28,2023-10-04 13:42:28,30.0
3028.0,Carl,Butler,TIP,M,2002-10-29,2023-10-04 06:08:02,2023-10-04 07:38:02,30.0
2319.0,John,Smith,UST,M,2000-04-11,2023-10-03 20:20:51,2023-10-04 02:20:51,120.0
4359.0,Curtis,Graham,UST,M,2008-03-24,2023-10-04 00:39:00,2023-10-04 04:39:00,90.0
4060.0,Travis,Perkins,UST,M,2003-06-13,2023-10-04 05:19:09,2023-10-04 06:19:09,30.0
6041.0,Amber,King,lawyer,F,1990-12-24,2023-10-03 20:16:51,2023-10-03 23:16:51,150.0
6699.0,Kristy,Smith,teacher,M,1978-11-13,2023-10-04 07:02:10,2023-10-04 10:02:10,30.0
1722.0,Andre,Campbell,BPO,F,1997-03-29,2023-10-03 18:07:58,2023-10-03 22:07:58,30.0
4438.0,John,David,OTHER,F,2000-04-02,2023-10-04 10:08:44,2023-10-04 11:38:44,60.0
5229.0,Destiny,Mitchell,BPO,M,1978-01-15,2023-10-03 21:08:53,2023-10-03 23:08:53,60.0
8644.0,Leah,Hill,UST,F,2008-07-10,2023-10-03 18:29:58,2023-10-03 22:29:58,30.0
,,,AdU,M,1999-11-07,2023-10-03 19:50:28,2023-10-03 21:20:28,
2718.0,Matthew,Smith,doctor,F,1989-06-29,2023-10-03 17:52:22,2023-10-03 20:52:22,90.0
8739.0,Kevin,Shaffer,UST,F,2004-12-17,2023-10-04 04:01:20,2023-10-04 08:01:20,30.0
3897.0,Dawn,Hebert,BPO,M,1991-12-29,2023-10-03 16:20:07,2023-10-03 20:20:07,180.0
7616.0,Gina,Jenkins,influencer,F,1981-09-23,2023-10-04 02:33:37,2023-10-04 04:33:37,120.0
9965.0,David,Collins,OTHER,F,2003-06-09,2023-10-04 14:03:23,2023-10-04 17:03:23,90.0
1666.0,Matthew,Stephens,BPO,M,1982-09-02,2023-10-03 19:31:07,2023-10-03 21:31:07,30.0
7552.0,Keith,Rodriguez,BPO,F,1983-08-24,2023-10-04 09:54:16,2023-10-04 12:54:16,120.0
1137.0,Sarah,Burke,UST,F,2000-07-25,2023-10-03 17:56:26,2023-10-03 19:26:26,90.0
3716.0,Debra,Johnson,UST,F,2004-07-29,2023-10-03 17:43:55,2023-10-03 18:43:55,30.0
7623.0,Austin,Yu,OTHER,M,2003-08-01,2023-10-04 00:13:16,2023-10-04 01:43:16,60.0
